Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Itajubá,MG,97.29,74638,76714,Baixa,Baixa,1.0,True,0.07434105899835754,0.09156086242406862,0.1868628933441093,0.18233959903016397,0.15672497849154002,0.15237114477148891,0.15579946294027167,0.7047996454362958,0.06027582970513857,0.23226529707745652,0.0022551294418228745,0.00040409833928617986,0.4851265740282087,0.5148734259717913
Presidente Getúlio,SC,97.96,15856,16186,Baixa,Baixa,1.0,True,0.08569133819350055,0.10873594464351909,0.22019028790312617,0.18664277770913135,0.15025330532559,0.1287532435438033,0.11973310268132954,0.7963054491535895,0.031941183739033735,0.16792289633016186,0.0004324725071049055,0.0033979982701099714,0.493883603113802,0.5061163968861979
Timbaúba dos Batistas,RN,82.97,1657,1997,Média,Média,1.0,True,0.07761642463695544,0.07811717576364546,0.1772658988482724,0.17626439659489235,0.16875312969454181,0.1457185778668002,0.17626439659489235,0.4586880320480721,0.06860290435653481,0.4727090635953931,0.0,0.0,0.4842263395092639,0.5157736604907361
Petrolândia,SC,95.6,5215,5455,Média,Média,1.0,True,0.07442713107241063,0.07827681026581118,0.1697525206232814,0.16425297891842347,0.16480293308890925,0.17451879010082494,0.17396883593033913,0.8925756186984418,0.015948670944087993,0.09092575618698442,0.00036663611365719525,0.00018331805682859762,0.5033913840513291,0.49660861594867095
Acopiara,CE,72.73,26364,36251,Média,Média,1.0,True,0.09034233538385147,0.08772171802157182,0.16302998537971367,0.18239496841466443,0.16046453890927148,0.13638244462221732,0.17966400926870982,0.31612921022868334,0.07136354859176298,0.6115969214642355,0.000303439905106066,0.000606879810212132,0.49077266834018374,0.5092273316598163
Sertãozinho,SP,96.14,98806,102777,Média,Baixa,1.0,False,0.0807865573036769,0.08807418002082178,0.19406092802864455,0.21465892174319157,0.16296447648793017,0.1321404594413147,0.12731447697442036,0.5141519989881005,0.09324070560533972,0.388900240326143,0.0029967794350876167,0.0007102756453292079,0.48152796831976025,0.5184720316802397
Capão do Cipó,RS,97.02,2505,2582,Média,Média,1.0,True,0.08249419054996127,0.07397366382649109,0.15879163439194424,0.18241673121611154,0.16227730441518204,0.1707978311386522,0.16924864446165763,0.8001549186676995,0.03408210689388071,0.16576297443841984,0.0,0.0,0.5286599535243997,0.4713400464756003
Sambaíba,MA,80.3,3387,4218,Média,Média,1.0,True,0.11830251303935514,0.10929350403034614,0.18492176386913228,0.17567567567567569,0.14461830251303937,0.13323850165955428,0.1339497392128971,0.13963963963963963,0.13940256045519203,0.7171645329540066,0.002370791844476055,0.001422475106685633,0.5132764343290659,0.4867235656709341
Quixeré,CE,78.35,13063,16673,Média,Média,1.0,True,0.08924608648713489,0.0967432375697235,0.21441852096203443,0.19318658909614347,0.15606069693516464,0.11851496431356084,0.13182990463623823,0.30318478977988367,0.07077310621963653,0.6256822407485155,0.0001799316259821268,0.0001799316259821268,0.48497570923049244,0.5150242907695076
Novo Brasil,GO,90.28,2676,2964,Média,Média,1.0,True,0.06680161943319839,0.06443994601889338,0.14709851551956815,0.16902834008097167,0.19298245614035087,0.16464237516869096,0.1950067476383266,0.4230769230769231,0.0708502024291498,0.5040485829959515,0.0010121457489878543,0.0010121457489878543,0.5037112010796221,0.49628879892037786
Selbach,RS,97.21,4174,4294,Média,Baixa,1.0,False,0.06264555193292967,0.07428970656730322,0.1616208663251048,0.16837447601304145,0.14857941313460643,0.19003260363297625,0.1944573823940382,0.827433628318584,0.02026082906380997,0.15230554261760595,0.0,0.0,0.48509548206800185,0.5149045179319981
Caraí,MG,80.55,12315,15289,Média,Média,1.0,True,0.11563869448623193,0.08810255739420499,0.1546863758257571,0.18045653737981554,0.15658316436653805,0.13231735234482309,0.17221531820262934,0.1259729217084178,0.09889463012623455,0.7738243181372229,0.0007194715154686376,0.000588658512656158,0.496173719667735,0.5038262803322651
Colorado do Oeste,RO,90.47,11379,12578,Média,Média,1.0,True,0.08650023851168707,0.08236603593576085,0.17156940690093814,0.18794720941326126,0.17387501987597392,0.1490698044204166,0.14867228494196216,0.3553824137382732,0.08618222292892351,0.5549371919224042,0.002703132453490221,0.0007950389569088886,0.49467323898871046,0.5053267610112896
Cruz do Espírito Santo,PB,73.76,9744,13211,Média,Média,1.0,True,0.11104382711376883,0.10945424267655741,0.19196124441753085,0.19869805465142684,0.16614942093709786,0.11619105291045341,0.10650215729316478,0.2587994852774203,0.08614033759745666,0.6543032321550223,0.0006055559760805389,0.00015138899402013473,0.48959200666111574,0.5104079933388843
Manduri,SP,95.21,7709,8097,Média,Média,1.0,True,0.07805360009880202,0.08040014820303816,0.17475608249969124,0.17969618377176733,0.16956897616401137,0.14474496727182906,0.1727800419908608,0.725453871804372,0.03692725700876868,0.2361368408052365,0.0012350253180190194,0.0002470050636038039,0.49363961961220204,0.506360380387798
Cravolândia,BA,80.84,2890,3575,Média,Média,1.0,True,0.10601398601398601,0.07776223776223776,0.15552447552447551,0.19076923076923077,0.15972027972027972,0.15104895104895105,0.15916083916083917,0.173986013986014,0.25006993006993006,0.573986013986014,0.0011188811188811189,0.0008391608391608392,0.49174825174825176,0.5082517482517482
Nova Odessa,SP,97.87,49909,50997,Baixa,Baixa,1.0,True,0.07453379610565328,0.08343628056552346,0.17967723591583817,0.2103653156068004,0.17332392101496166,0.14320450222562112,0.1354589485656019,0.6524305351295174,0.06280761613428242,0.28011451654018865,0.0035296193893758457,0.0011177128066356846,0.48445987018844244,0.5155401298115575
Jati,CE,78.49,4813,6132,Média,Média,1.0,True,0.09719504240052185,0.09197651663405088,0.18232224396607957,0.18330071754729288,0.15280495759947815,0.12932159165035878,0.16307893020221786,0.2756033920417482,0.0639269406392694,0.6588388780169602,0.0014677103718199608,0.00016307893020221786,0.48956294846705806,0.5104370515329419
